,CD_ALUNO_CRIPTO,CD_DISCIPLINA,VL_PERC_ACERTOS,VL_PROFICIENCIA,VL_PROFICIENCIA_ERRO,NOTA,GRUPO,DESCRICAO
1212688,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,geometria,Calcular a área de um triângulo pelas coordenadas de seus vértices.
1212689,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,geometria,Calcular a área de um triângulo pelas coordenadas de seus vértices.
1305967,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,geometria,Determinar uma equação da reta a partir de dois pontos dados ou de um ponto e sua inclinação.
1305968,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0.5,geometria,Determinar uma equação da reta a partir de dois pontos dados ou de um ponto e sua inclinação.
1399246,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,geometria,Reconhecer
1399247,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,geometria,Reconhecer
1492525,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,geometria,Identificar a localização de pontos no plano cartesiano.
1492526,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,geometria,Identificar a localização de pontos no plano cartesiano.
1585804,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,geometria,Interpretar geometricamente os coeficientes da equação de uma reta.
1585805,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,geometria,Interpretar geometricamente os coeficientes da equação de uma reta.
1679083,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,medidas,Resolver problema utilizando as relações entre diferentes unidades de medidas de capacidade e de volume.
1679084,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,medidas,Resolver problema utilizando as relações entre diferentes unidades de medidas de capacidade e de volume.
1772362,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,medidas,Calcular o perímetro de figuras planas em uma situação problema.
1772363,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,medidas,Calcular o perímetro de figuras planas em uma situação problema.
1865641,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,medidas,Resolver problema envolvendo o cálculo de área de figuras planas.
1865642,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,medidas,Resolver problema envolvendo o cálculo de área de figuras planas.
1958920,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,medidas,Calcular a área da superfície total de prismas
1958921,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,medidas,Calcular a área da superfície total de prismas
2052199,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,1,medidas,Calcular o volume de prismas
2052200,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,medidas,Calcular o volume de prismas
2145478,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,1,tratamento da informação,Associar informações apresentadas em listas e/ou tabelas aos gráficos que as representam
2145479,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,1,tratamento da informação,Associar informações apresentadas em listas e/ou tabelas aos gráficos que as representam
2238757,2be989ffd5f93c2d1fb49fe2688c6f68b,2,9.52,233.889468,41.41079342,0,tratamento da informação,Resolver problemas envolvendo medidas de tendência central: média
2238758,2be989ffd5f93c2d1fb49fe2188c0f88a,2,18.18,233.6714321,40.16031437,0,tratamento da informação,Resolver problemas envolvendo medidas de tendência central: média
